"phone.number","contract.start.date","plan.id","contract.end.date","nrs","dob"
"021 547 6319",2018-03-12,3,,"E",1971-07-19
"0404 154 5328",2015-05-30,3,,"C2",1961-04-17
"0402 936 5888",2014-01-22,2,,"C1",1977-06-25
"01 487 8745",2017-08-19,2,,"B",1975-03-26
"01 034 0893",2013-06-22,3,,"C2",1950-06-10
"01 442 0065",2016-05-14,1,,"C2",1985-12-04
"01 621 5292",2013-03-17,1,,"B",1995-10-27
"048 222 2364",2016-01-16,2,,"E",1973-09-29
"01 015 6304",2017-08-15,1,,"D",1969-02-24
"01 646 8133",2013-07-12,1,,"E",1955-09-07
"0404 365 2114",2016-09-10,1,,"D",1986-05-13
"01 739 1817",2017-05-21,2,2018-07-01,"C1",1971-04-26
"01 469 6339",2012-11-07,1,,"E",1982-07-07
"01 652 6744",2012-12-19,1,,"D",1950-08-12
"01 662 2653",2014-01-17,1,2018-07-01,"C2",1995-06-15
"01 008 5352",2018-01-10,1,,"C2",1980-10-04
"0404 714 2741",2016-11-29,1,,"B",1988-06-26
"01 256 9206",2017-06-05,2,,"C1",1953-09-04
"090 652 4664",2015-07-06,2,,"B",1956-03-11
"01 353 5815",2013-10-30,3,,"C1",1956-03-14
"024 300 5009",2016-02-01,3,,"D",1962-12-24
"045 147 6288",2013-07-31,1,2018-07-01,"D",1971-02-06
"01 351 1745",2017-02-24,3,,"C1",1955-05-15
"01 816 8340",2012-09-11,1,2018-07-01,"C1",1956-05-22
"01 564 1444",2012-08-25,2,,"C2",1982-06-05
"024 061 2842",2018-01-15,1,2018-07-01,"C1",1955-09-27
"01 379 7070",2012-12-14,2,,"C2",1973-11-26
"01 017 6861",2017-01-22,3,,"B",1984-05-05
"01 053 1921",2012-09-05,1,,"C1",1971-12-19
"01 570 2356",2013-06-12,2,,"B",1960-03-23
"01 977 6318",2012-10-20,1,,"D",1963-02-06
"01 525 8083",2015-08-01,1,,"B",1962-12-07
"053 139 6439",2012-01-01,3,,"C2",1966-05-05
"021 947 0552",2013-03-13,1,,"C1",1958-12-17
"098 839 7071",2014-12-28,2,,"D",1989-03-20
"046 659 6242",2016-05-19,2,2018-07-01,"B",1990-12-01
"01 274 4897",2015-09-12,1,,"D",1965-09-20
"01 003 9162",2016-09-25,3,,"B",1951-04-14
"048 848 1970",2015-04-22,3,,"C2",1988-07-06
"063 860 4656",2017-09-25,1,,"C1",1974-10-20
"068 711 6804",2017-07-23,3,,"C2",1998-01-07
"066 886 2213",2017-09-17,1,,"C2",1971-12-29
"067 074 1784",2014-04-02,3,,"A",1977-04-17
"066 486 0403",2013-07-31,2,,"C2",1954-03-16
"0404 196 1976",2015-05-11,3,,"C1",1972-03-02
"047 869 8712",2013-09-16,2,,"C1",1985-07-18
"024 596 8067",2015-01-18,2,2018-07-01,"B",1999-08-10
"01 082 3524",2017-03-18,2,,"E",1951-10-13
"096 191 4628",2014-05-10,3,,"E",1978-07-04
"01 635 4415",2018-05-09,1,,"C1",1977-08-31
"041 955 3690",2015-01-08,1,2018-07-01,"C1",1952-08-30
"094 036 9641",2013-05-09,3,,"B",1974-01-11
